Year,Month,District,PM2.5_mean,PM10_mean,O3_mean,NO2_mean,SO2_mean,CO_mean,AQI_Good_Rate_pct
2025,9,Shanghai,14.8,65.9,155.0,19,6,0.8,93.3
2025,8,Shanghai,16.1,61.2,161.0,16,6,0.7,87.1
2025,7,Shanghai,12.3,57.7,161.0,11,6,0.7,87.1
2025,6,Shanghai,17.7,64.2,178.0,20,6,0.7,70.0
2025,5,Shanghai,25.9,77.6,177.0,23,6,0.8,77.4
2025,4,Shanghai,34.6,93.1,179.0,32,8,0.8,76.7
2025,3,Shanghai,28.0,89.0,153.0,36,7,0.8,93.5
2025,2,Shanghai,39.0,105.0,100.0,32,7,1.0,89.3
2025,1,Shanghai,42.0,111.0,98.0,45,8,0.9,93.5
2024,12,Shanghai,44.0,116.0,85.0,48,9,1.0,87.1
2024,11,Shanghai,23.0,78.0,108.0,31,8,0.8,100.0
2024,10,Shanghai,20.0,71.0,129.0,26,7,0.9,100.0
2024,9,Shanghai,14.0,63.0,129.0,18,7,0.7,93.3
2024,8,Shanghai,19.0,66.0,179.0,18,7,0.8,77.4
2024,7,Shanghai,19.0,61.0,170.0,20,7,0.7,77.4
2024,6,Shanghai,20.0,70.0,149.0,24,7,0.7,90.0
2024,5,Shanghai,21.0,73.0,160.0,23,7,0.8,90.3
2024,4,Shanghai,27.0,92.0,133.0,31,7,0.8,96.7
2024,3,Shanghai,37.0,108.0,134.0,41,7,0.9,96.8
2024,2,Shanghai,40.0,109.0,108.0,26,7,1.1,89.7
2024,1,Shanghai,58.0,147.0,88.0,54,8,1.2,61.3
2023,12,Shanghai,49.0,130.0,70.0,53,8,1.2,80.6
2023,11,Shanghai,34.0,98.0,122.0,42,8,1.1,96.7
2023,10,Shanghai,24.0,79.0,153.0,34,7,0.9,93.5
2023,9,Shanghai,19.0,68.0,138.0,25,7,1.0,93.5
2023,8,Shanghai,17.0,66.0,165.0,18,7,0.8,83.9
2023,7,Shanghai,18.0,66.0,176.0,20,6,0.7,77.4
2023,6,Shanghai,26.0,79.0,191.0,25,7,0.8,76.7
2023,5,Shanghai,27.0,89.0,200.0,27,7,0.8,80.6
2023,4,Shanghai,32.0,115.0,156.0,29,7,0.9,90.0
2023,3,Shanghai,32.0,110.0,136.0,37,7,0.9,93.5
2023,2,Shanghai,27.0,107.0,94.0,32,6,0.9,96.4
2023,1,Shanghai,37.0,122.0,97.0,36,8,1.0,90.3
2022,12,Shanghai,33.0,114.0,73.0,45,8,1.1,96.8
2022,11,Shanghai,25.0,94.0,98.0,35,6,1.0,100.0
2022,10,Shanghai,15.0,69.0,106.0,26,6,0.7,100.0
2022,9,Shanghai,16.0,65.0,128.0,22,5,0.8,93.3
2022,8,Shanghai,18.0,64.0,181.0,20,5,0.8,67.7
2022,7,Shanghai,22.0,63.0,196.0,20,4,0.8,64.5
2022,6,Shanghai,20.0,54.0,181.0,19,4,0.7,83.3
2022,5,Shanghai,22.0,30.0,175.0,17,6,0.8,80.6
2022,4,Shanghai,24.0,94.0,176.0,18,7,0.9,76.7
2022,3,Shanghai,29.0,94.0,125.0,32,6,0.8,96.8
2022,2,Shanghai,30.0,90.0,100.0,29,5,0.7,96.4
2022,1,Shanghai,42.0,112.0,84.0,43,5,1.2,90.3
2021,12,Shanghai,43.0,113.0,82.0,60,7,1.3,80.6
2021,11,Shanghai,32.0,90.0,106.0,49,6,1.0,100.0
2021,10,Shanghai,17.0,58.0,116.0,30,5,0.8,96.8
2021,9,Shanghai,18.0,56.0,164.0,24,5,0.9,83.3
2021,8,Shanghai,17.0,51.0,158.0,22,5,0.7,96.8
2021,7,Shanghai,17.0,59.0,147.971054077148,19,5,0.772184610366821,90.3
2021,6,Shanghai,22.0,56.0,149.957183837891,28,5,0.782494008541107,93.3
2021,5,Shanghai,30.0,78.0,179.692108154297,31,5,0.859700262546539,71.0
2021,4,Shanghai,31.0,83.0,115.557159423828,36,5,0.795065522193909,100.0
2021,3,Shanghai,35.0,106.0,113.98021697998,40,5,1.03607165813446,93.5
2021,2,Shanghai,29.0,98.0,101.030731201172,32,6,0.82196432352066,100.0
2021,1,Shanghai,39.0,123.0,99.3741607666016,50,8,1.07612264156342,96.8
2020,12,Shanghai,47.0,184.0,76.3303604125977,53,7,1.23476946353912,80.6
2020,11,Shanghai,27.0,120.0,87.8060531616211,42,7,1.10982024669647,96.7
2020,10,Shanghai,19.0,115.0,89.4193878173828,37,7,1.03659451007843,96.8
2020,9,Shanghai,25.0,130.0,106.505561828613,40,6,1.13647079467773,83.3
2020,8,Shanghai,20.0,78.0,130.727828979492,23,6,0.835812926292419,93.5
2020,7,Shanghai,27.0,79.0,159.710784912109,32,5,0.879060924053192,83.9
2020,6,Shanghai,30.0,88.0,159.039016723633,33,5,0.904504537582397,83.3
2020,5,Shanghai,39.0,106.0,160.928314208984,36,7,1.1167379617691,77.4
2020,4,Shanghai,33.0,108.0,143.587844848633,41,7,1.07181620597839,86.7
2020,3,Shanghai,27.0,68.0,133.343292236328,33,6,0.789543986320496,96.8
2020,2,Shanghai,33.0,84.0,123.190643310547,29,6,0.796541810035706,96.6
2020,1,Shanghai,53.0,146.0,116.283874511719,44,7,1.23013138771057,74.2
2019,12,Shanghai,50.0,143.75549999999998,83.59418056488038,63,9,1.2267963424921036,77.4
2019,11,Shanghai,24.0,112.835,94.24072353363036,47,8,1.0608706324100483,96.7
2019,10,Shanghai,29.0,111.31,101.15648895263672,43,8,1.0819766973257052,90.3
2019,9,Shanghai,21.0,74.679,135.072481842041,33,6,0.908439078211786,93.3
2019,8,Shanghai,24.0,81.22800000000005,180.92200645446775,27,6,0.8265980808138852,80.6
2019,7,Shanghai,26.0,82.16900000000005,145.6812553024292,29,5,0.822144068658352,90.3
2019,6,Shanghai,29.0,87.20250000000001,148.2603288269043,28,6,0.8175599687695505,90.0
2019,5,Shanghai,33.0,112.7005,147.6857479095459,39,7,1.11945325756073,74.2
2019,4,Shanghai,40.0,110.12,104.41101711273194,46,6,1.063112020373344,86.7
2019,3,Shanghai,51.0,145.78,101.59984588623048,52,7,1.2140469125509248,80.6
2019,2,Shanghai,41.0,106.655,123.06702713012696,36,6,1.0387312354445448,85.7
2019,1,Shanghai,49.0,146.821,97.7345595550537,57,9,1.2025623536109904,71.0
2018,12,Shanghai,37.0,117.1255,84.92004989624023,54,9,1.0834959566593168,87.1
2018,11,Shanghai,43.0,118.241,94.46298824310304,58,7,1.2523559722900417,80.0
2018,10,Shanghai,27.0,114.648,100.25053672790528,44,9,1.0658621302843083,93.5
2018,9,Shanghai,27.0,91.2735,158.00145030975338,35,7,0.9661777119040496,76.7
2018,8,Shanghai,16.0,64.83449999999998,149.42489028930663,20,6,0.744295642614365,90.3
2018,7,Shanghai,22.0,66.7105,160.1333106994629,24,8,0.7942807855010037,87.1
2018,6,Shanghai,35.0,95.3055,175.0615724182129,32,10,0.8631653308272369,76.7
2018,5,Shanghai,44.0,115.1225,144.8139631652832,41,11,1.1571852192878715,61.3
2018,4,Shanghai,42.0,116.344,107.39872337341308,47,13,1.158307052373886,73.3
2018,3,Shanghai,41.0,110.6405,103.74225589752196,45,12,0.9718922524452228,93.5
2018,2,Shanghai,44.0,114.4755,94.45164974212646,47,14,1.0334250185489662,89.3
2018,1,Shanghai,58.0,146.44549999999998,97.2186861038208,58,14,1.22239509999752,64.5
2017,12,Shanghai,54.0,145.9805,85.7376665878296,69,15,1.2284504245519634,61.3
2017,11,Shanghai,41.0,118.21699999999998,98.70027019500732,59,13,1.2126839148998274,76.7
2017,10,Shanghai,24.0,82.975,116.36977443695068,34,9,0.8683730550408382,100.0
2017,9,Shanghai,26.0,98.668,132.24291038513184,36,9,0.9382804640531546,93.3
2017,8,Shanghai,31.0,86.69850000000002,176.08520450592042,32,8,0.8422410359382637,61.3
2017,7,Shanghai,33.0,92.6055,179.75863918304444,30,10,0.8447511063218128,41.9
2017,6,Shanghai,38.0,103.509,163.0789632415771,35,9,1.0521564336419098,76.7
2017,5,Shanghai,32.0,112.12949999999996,155.93571773529052,37,11,1.0441239953041082,71.0
2017,4,Shanghai,45.0,120.82099999999998,104.93854450225832,51,12,1.1829616267681118,70.0
2017,3,Shanghai,45.0,117.1305,99.96221855163574,50,12,1.0532347472906118,87.1
2017,2,Shanghai,50.0,141.5,96.1961052322388,49,14,1.1543515317440016,82.1
2017,1,Shanghai,45.0,120.065,96.76451259613036,47,17,1.1045620577335356,83.9
2016,12,Shanghai,58.0,146.01049999999998,85.7376665878296,65,19,1.2278246064186091,61.3
2016,11,Shanghai,44.0,119.3365,93.6788829421997,58,16,1.2390707544088384,80.0
2016,10,Shanghai,22.0,72.15,114.59500930786132,33,12,0.8528873754143731,100.0
2016,9,Shanghai,32.0,95.956,152.0384534072876,34,12,0.903876190364362,83.3
2016,8,Shanghai,19.0,70.8515,138.75717346191405,23,11,0.8145944148302081,93.5
2016,7,Shanghai,38.0,99.17400000000002,177.16731678009037,31,10,0.9970335509777066,58.1
2016,6,Shanghai,40.0,107.72499999999998,161.4673960113525,36,10,1.0727817674279203,76.7
2016,5,Shanghai,51.0,142.01049999999998,143.8276177597046,41,12,1.1516129316091517,64.5
2016,4,Shanghai,56.0,144.1755,103.30679889678956,50,14,1.170605528950689,73.3
2016,3,Shanghai,52.0,141.3455,103.40980056762696,49,17,1.1708431478738763,77.4
2016,2,Shanghai,54.0,140.42,100.63933410644532,43,19,1.1546241792440397,82.8
2016,1,Shanghai,70.0,146.44549999999998,97.2186861038208,57,24,1.2023950999975177,54.8
2015,12,Shanghai,82.0,146.01049999999998,85.7376665878296,67,25,1.2278246064186091,51.6
2015,11,Shanghai,58.0,146.01049999999998,95.73865646362304,58,17,1.2273331130743022,63.3
2015,10,Shanghai,47.0,155.79,95.31593811035158,49,17,1.177185725092886,80.6
2015,9,Shanghai,34.0,96.4465,148.85607830047607,32,13,0.9022035269737252,86.7
2015,8,Shanghai,40.0,98.5925,183.39769283294677,28,13,1.0273819184899322,71.0
2015,7,Shanghai,39.0,99.06400000000002,176.67491718292231,31,12,1.0080209984183308,64.5
2015,6,Shanghai,43.0,110.19649999999996,136.335319442749,37,12,1.0476920051574707,86.7
2015,5,Shanghai,40.0,110.0355,129.97434482574462,37,12,1.0104463465213782,93.5
2015,4,Shanghai,55.0,146.4355,102.08995460510252,54,17,1.1946272453069655,73.3
2015,3,Shanghai,54.0,143.97549999999998,103.70458850860598,49,15,1.1683600351810437,67.7
2015,2,Shanghai,63.0,143.7455,100.78031024932864,47,21,1.1671239236593227,67.9
2015,1,Shanghai,81.0,146.44549999999998,97.2186861038208,64,29,1.22239509999752,41.9
2014,12,Shanghai,72.0,146.01049999999998,85.7376665878296,70,35,1.2278246064186091,51.6
2014,11,Shanghai,51.0,140.1,91.38815956115722,53,17,1.0968547896146763,86.7
2014,10,Shanghai,39.0,109.2005,116.69311904907228,42,15,1.0669018664360037,87.1
2014,9,Shanghai,35.0,96.7445,136.93641036987302,33,12,0.9186424914598474,93.3
2014,8,Shanghai,37.0,105.372,142.6308558654785,35,12,1.026951135396957,87.1
2014,7,Shanghai,45.0,103.51749999999996,165.79240280151367,32,11,1.0423646054863924,77.4
